Ilustracja,Nazwa Karty,Plan
274ALA,Akrasan Squire,Alara
275FIN,Aerith Rescue Mission,Final Fantasy
276CLB,Heap Gate,Forgotten Realms
277OTJ,Spinewoods Paladin,Thunder Junction
278NEO,Kappa Tech-Wrecker,Kamigawa
279M21,Village Rites,Wiedźmin
280FUS,Skellige Debt in the Alley,Wiedźmin
281EOE,Moonlit Meditation,The Edge
282ISD,Hysterical Blindness,Innistrad
283FIN,Magic Damper,Final Fantasy
284CLB,Thieves' Tools,Forgotten Realms
285ALA,Etherium Sculptor,Alara
286EOE,Weftblade Enhancer,The Edge
287DTK,Sarkhan's Rage,Tarkir
288EOE,Wedgelight Rammer,The Edge
289ONE,Rustvine Cultivator,Mirrodin
290MM2,Soulbright Flamekin,Lorwyn
291CMR,Plague Reaver,Alara
292TDM,Rediscover the Way,Tarkir
293ELD,Forever Young,Eldraine
294OTJ,Tumbleweed Rising,Thunder Junction
295OTJ,Fake Your Own Death,Thunder Junction
296M14,Minotaur Abomination,Warhammer Fantasy
297ARB,Grizzled Leotau,Alara
298CMR,Raise the Alarm,Śródziemie
299AVR,Farbog Explorer,Innistrad
300OTJ,Gila Courser,Thunder Junction
301GTC,Guildscorn Ward,Ravnica
302BRO,Curate,Forgotten Realms
303BRO,Blanchwood Prowler,Dominaria
304RNA,Sagittars' Volley,Ravnica
305ARB,Illusory Demon,Alara
306WWK,Mysteries of the Deep,Zendikar
307M3C,"Jyoti, Moag Ancient",Śródziemie
308CLB,Greatsword of Tyr,Forgotten Realms
309ISD,Civilized Scholar,Innistrad
310_2XM,Chatter of the Squirrel,Dominaria
311CLB,Guildsworn Prowler,Forgotten Realms
312M13,Goblin Battle Jester,Warhammer Fantasy
313TOR,Faceless Butcher,Dominaria
314MH2,Revolutionist,Warhammer Fantasy
315RTR,Chronic Flooding,Ravnica
316JUD,Wormfang Newt,Dominaria
317ISD,Village Bell-Ringer,Innistrad
318CLB,Gond Gate,Forgotten Realms
319FIN,Call the Mountain Chocobo,Final Fantasy
320CON,Infectious Horror,Alara
321DTK,Ainok Artillerist,Tarkir
322M15,Satyr Wayfinder,Theros
323STO,Innistrad's Silver Moon,Innistrad
324STO,Carmot,Alara
325STO,Fabric of All Being,The Edge
326MH2,Bone Shredder,Mirrodin
327STO,Summer Nexus,Theros
328STO,The Roil of Zendikar,Zendikar
329STO,College of Whispers,Forgotten Realms
330KHM,Invasion of the Giants,Kaldheim
331CLU,Trostani Discordant,Ravnica
332STO,Mycosynth Gardens,Mirrodin
333STO,Dragon Tempests,Tarkir
334STO,Mat'Selesnya,Ravnica
335DDQ,Gather the Townsfolk,Innistrad
336STO,Doomskar,Kaldheim
337M20,Glaring Aegis,Theros
338STO,The Lifestream,Final Fantasy
339CLB,Patron of the Arts,Forgotten Realms
340STO,"Gond, the Wonderbringer",Forgotten Realms
341STO,The Standing Militia of Gavony,Innistrad
342ARB,Gorger Wurm,Alara
343SHM,Puppeteer Clique,Lorwyn
344EOE,Pain for All,The Edge
345NPH,Porcelain Legionnaire,Mirrodin
346ONE,Necrosquito,Mirrodin
347NPH,Pristine Talisman,Mirrodin
348STO,Geralf's Laboratory at Trostad,Innistrad
349MH1,Enduring Sliver,Dominaria
350STO,The Five Suns of Mirrodin,Mirrodin
351STO,The Great Aurora,Lorwyn
352BRO,Evangel of Synthesis,Dominaria
353STO,The Seedcore,Mirrodin
354CON,Wretched Banquet,Alara
355_2XM,Cathartic Reunion,Kaladesh
356STO,"The Changeling, Herald of Tzeentch",Warhammer Fantasy
357STO,The Ancestor,Dominaria
358EOE,Frontline War-Rager,The Edge
359STO,Gonti's Night Market,Kaladesh
360_8ED,Inspiration,Wiedźmin
361STO,Time Rifts of Dominaria,Dominaria
362BRO,Simian Simulacrum,Dominaria
363STO,The Conflux,Alara
364STO,The Rathi Overlay,Dominaria
365STO,The Compleation Rite,Dominaria
366ECL,Assert Perfection,Lorwyn
367M21,Battle-Rattle Shaman,Zendikar
368STO,Moonglove Winnower,Lorwyn
369STO,The Conflux War,Alara
370MRD,Consume Spirit,Mirrodin
371STO,The Mirari,Dominaria
372TDM,Dragonbroods' Relic,Tarkir
373DSK,Fear of Abduction,Duskmourn
374BLB,Thistledown Players,Bloomburrow
375M10,Deadly Recluse,Śródziemie
376VOW,Doomed Dissenter,Innistrad
377AVR,Scroll of Avacyn,Innistrad
378STO,The Cult of Gix,Dominaria
379SNC,Swooping Protector,New Capenna
380STO,Blessed Sleep,Innistrad
381ISD,Caravan Vigil,Innistrad
382LCI,Geological Appraiser,Ixalan
383_2XM,Supernatural Stamina,Amonkhet
384KLD,Sequestered Stash,Kaladesh
385DKA,Midnight Guard,Innistrad
386ELD,Insatiable Appetite,Eldraine
387BFZ,Molten Nursery,Zendikar
388DMU,Goblin Picker,Dominaria
389KTK,Bring Low,Tarkir
390STO,The Code of the Harpers,Forgotten Realms
391STO,Spawn of Ungoliant,Śródziemie
392STO,The Black Lacuna,Mirrodin
393DKA,Forge Devil,Innistrad
394STO,Spirit Dragons of Tarkir,Tarkir
395MH1,Unearth,Warhammer Fantasy
396CMR,Vow of Wildness,Tarkir
397FUS,Orazca's Rotting God,Ixalan
398STO,"Ureni, the Song Unending",Tarkir
399VOW,Chill of the Grave,Innistrad
400STO,The Vaults of Candlekeep,Forgotten Realms
401THS,Rage of Purphoros,Theros
402STO,The Guildpact,Ravnica
403NPH,Dementia Bat,Mirrodin
404STO,The Spirit Oaths of Tarkir,Tarkir
405STO,The Kav Exodus,The Edge
406STO,The Omenpaths of Thunder Junction,Thunder Junction
407STO,The Gold Mask of the Returned,Theros
408STO,The Vox Quietus,Innistrad
409STO,The Church of Avacyn,Innistrad
410STO,Halifirien,Śródziemie
411STO,The Prophecy of Ithlinne,Wiedźmin
412STO,Vargheist,Warhammer Fantasy
413STO,The Kami War,Kamigawa
414STO,The Worlds Edge Mountains,Warhammer Fantasy
415STO,The Heart's Shadow,Innistrad
416STO,Helvault,Innistrad
417STO,The Blessed Silver,Innistrad
418STO,The Parliament of Peers,Forgotten Realms
419DSK,Fear of Burning Alive,Duskmourn
420ISD,Cellar Door,Warhammer Fantasy
421BRO,Dreams of Steel and Oil,Dominaria
422CMR,Benevolent Blessing,Śródziemie
423STO,Nan Dungortheb,Śródziemie
424STO,Liber Mortis,Warhammer Fantasy
425STO,The Oath of Cirion and Eorl,Śródziemie
426STO,Dammaz Kron,Warhammer Fantasy
427STO,The Warpstone Meteor Showers of Morrslieb,Warhammer Fantasy
428ISD,Curiosity,Wiedźmin
429STO,Trostad,Innistrad
430CMR,Nightshade Harvester,Wiedźmin
431TDM,Delta Bloodflies,Tarkir
432ELD,Wishful Merfolk,Wiedźmin
433THB,Inspire Awe,Theros
434OTC,Epic Experiment,Ravnica
435FIN,Warrior's Sword,Final Fantasy
436JVC,Fireball,Warhammer Fantasy
437M19,Giant Spider,Dominaria
438CLB,Circle of the Land Druid,Forgotten Realms
439FIN,Hecteyes,Final Fantasy
440CLB,Your Temple Is Under Attack,Forgotten Realms
441BRO,Survivor of Korlis,Dominaria
442MOR,Cenn's Tactician,Lorwyn
443DKA,Scorned Villager,Innistrad
444DTK,Colossodon Yearling,Tarkir
445ELD,Locthwain Paladin,Eldraine
446IKO,Unbreakable Bond,Ikoria
447DSK,Resurrected Cultist,Warhammer Fantasy
448CON,Rupture Spire,Warhammer Fantasy
449NEO,Greater Tanuki,Kamigawa
450M19,Thornhide Wolves,Innistrad
451BLB,Downwind Ambusher,Bloomburrow
452THS,Omenspeaker,Warhammer Fantasy
453DKA,Elgaud Inquisitor,Innistrad
454THB,Setessan Skirmisher,Theros
455AER,Irontread Crusher,Warhammer Fantasy
456ONE,Crawling Chorus,Mirrodin
457DFT,Silken Strength,Kaladesh
458OTJ,Trained Arynx,Thunder Junction
459STX,Prismari Campus,Arcavios
460CMR,Ivy Lane Denizen,Ravnica
461M20,Negate,Wiedźmin
462CLB,Marut,Forgotten Realms
463TDM,Knockout Maneuver,Tarkir
464AVR,Polluted Dead,Wiedźmin
465DTK,Gurmag Drowner,Tarkir
466CLB,Basilisk Gate,Forgotten Realms
467KTK,Monastery Flock,Tarkir
468RIX,Cacophodon,Ixalan
469NPH,Chained Throatseeker,Mirrodin
470MH1,Springbloom Druid,Wiedźmin
471M20,Healer of the Glade,Zendikar
472_2XM,Kazuul's Toll Collector,Zendikar
473OGW,Scion Summoner,Zendikar
474M13,Scroll Thief,Wiedźmin
475EOE,Ruinous Rampage,The Edge
476MBS,Banishment Decree,Mirrodin
477KTK,Jeskai Windscout,Tarkir
478ISD,Spare from Evil,Innistrad
479DTK,Impact Tremors,Tarkir
480BLB,"Zoraline, Cosmos Caller",Bloomburrow
481DKA,Dawntreader Elk,Wiedźmin
482SOM,True Conviction,Mirrodin
483LCI,Lodestone Needle,Ixalan
484LCI,Guidestone Compass,Ixalan
485DKA,Moonscarred Werewolf,Innistrad
486ISD,Krallenhorde Wantons,Innistrad
487SOM,Stoic Rebuttal,Mirrodin
488SOM,Carapace Forger,Mirrodin
489OGW,Seer's Lantern,Śródziemie
490ONE,Awaken the Sleeper,Mirrodin
491VOW,Nature's Embrace,Wiedźmin
492DDO,Secluded Steppe,Śródziemie
493ZNR,Skyclave Geopede,Zendikar
494RIX,Crested Herdcaller,Ixalan
495M20,Scorch Spitter,Forgotten Realms
496M11,Shiv's Embrace,Dominaria
497BRO,Static Net,Dominaria
498M20,Fathom Fleet Cutthroat,Ixalan
499DTK,Vandalize,Tarkir
500FIN,Instant Ramen,Final Fantasy
501M3C,Exterminator Magmarch,Mirrodin
502TDM,Kin-Tree Nurturer,Tarkir
503M19,Rustwing Falcon,Śródziemie
504VOW,Ballista Watcher,Wiedźmin
505VOW,Ballista Wielder,Wiedźmin
506MBS,Spread the Sickness,Mirrodin
507SOM,Shatter,Mirrodin
508THS,Wavecrash Triton,Theros
509KTK,Highland Game,Tarkir
510M19,Angel of the Dawn,Forgotten Realms
511M10,Emerald Oryx,Wiedźmin
512DSK,Vanish from Sight,Duskmourn
513MH2,Spreading Insurrection,Ixalan
