Benchmark botów (B0) — deterministyczny, ADR 0005
boty: aggro, heuristic, random | talie: 12 | seedy: 50 (baza 1000) | limit komend: 8000

== aggro vs heuristic ==
  aggro 33.5% (2611/7800) | heuristic 66.5% (5189/7800)
    innistrad | innistrad                         aggro 96.0% (96/100) | random 4.0% (4/100)
    innistrad | mechanicy                         aggro 92.0% (92/100) | random 8.0% (8/100)
    innistrad | ostrza                            aggro 90.0% (90/100) | random 10.0% (10/100)
    innistrad | red                               aggro 98.0% (98/100) | random 2.0% (2/100)
    innistrad | sojusznicy                        aggro 84.0% (84/100) | random 16.0% (16/100)
    innistrad | spellslinger                      aggro 96.0% (96/100) | random 4.0% (4/100)
    innistrad | tokens                            aggro 92.0% (92/100) | random 8.0% (8/100)
    innistrad | wiedzmin                          aggro 92.0% (92/100) | random 8.0% (8/100)
    mechanicy | mechanicy                         aggro 95.0% (95/100) | random 5.0% (5/100)
    mechanicy | ostrza                            aggro 92.0% (92/100) | random 8.0% (8/100)
    mechanicy | red                               aggro 97.0% (97/100) | random 3.0% (3/100)
    mechanicy | sojusznicy                        aggro 75.0% (75/100) | random 25.0% (25/100)
    mechanicy | spellslinger                      aggro 97.0% (97/100) | random 3.0% (3/100)
    mechanicy | tokens                            aggro 87.0% (87/100) | random 13.0% (13/100)
    mechanicy | wiedzmin                          aggro 82.0% (82/100) | random 18.0% (18/100)
    ostrza | ostrza                               aggro 94.0% (94/100) | random 6.0% (6/100)
    ostrza | red                                  aggro 95.0% (95/100) | random 5.0% (5/100)
    ostrza | sojusznicy                           aggro 94.0% (94/100) | random 6.0% (6/100)
    ostrza | spellslinger                         aggro 95.0% (95/100) | random 5.0% (5/100)
    ostrza | tokens                               aggro 89.0% (89/100) | random 11.0% (11/100)
    ostrza | wiedzmin                             aggro 93.0% (93/100) | random 7.0% (7/100)
    red | red                                     aggro 94.0% (94/100) | random 6.0% (6/100)
    red | sojusznicy                              aggro 80.0% (80/100) | random 20.0% (20/100)
    red | spellslinger                            aggro 92.0% (92/100) | random 8.0% (8/100)
    red | tokens                                  aggro 79.0% (79/100) | random 21.0% (21/100)
    red | wiedzmin                                aggro 83.0% (83/100) | random 17.0% (17/100)
    sojusznicy | sojusznicy                       aggro 94.0% (94/100) | random 6.0% (6/100)
    sojusznicy | spellslinger                     aggro 99.0% (99/100) | random 1.0% (1/100)
    sojusznicy | tokens                           aggro 92.0% (92/100) | random 8.0% (8/100)
    sojusznicy | wiedzmin                         aggro 97.0% (97/100) | random 3.0% (3/100)
    spellslinger | spellslinger                   aggro 98.0% (98/100) | random 2.0% (2/100)
    spellslinger | tokens                         aggro 77.0% (77/100) | random 23.0% (23/100)
    spellslinger | wiedzmin                       aggro 77.0% (77/100) | random 23.0% (23/100)
    tokens | tokens                               aggro 77.0% (77/100) | random 23.0% (23/100)
    tokens | wiedzmin                             aggro 87.0% (87/100) | random 13.0% (13/100)
    wiedzmin | wiedzmin                           aggro 97.0% (97/100) | random 3.0% (3/100)

== heuristic vs random ==
  heuristic 96.1% (7493/7800) | random 3.9% (307/7800)
  niedokończone: 0 | śr. 19.34 tury | śr. 514.5 komend
    azorius | azorius                             heuristic 96.0% (96/100) | random 4.0% (4/100)
    azorius | black                               heuristic 92.0% (92/100) | random 8.0% (8/100)
    azorius | graveyard                           heuristic 93.0% (93/100) | random 7.0% (7/100)
    azorius | green                               heuristic 96.0% (96/100) | random 4.0% (4/100)
    azorius | innistrad                           heuristic 93.0% (93/100) | random 7.0% (7/100)
    azorius | mechanicy                           heuristic 97.0% (97/100) | random 3.0% (3/100)
    azorius | ostrza                              heuristic 93.0% (93/100) | random 7.0% (7/100)
    azorius | red                                 heuristic 96.0% (96/100) | random 4.0% (4/100)
    azorius | sojusznicy                          heuristic 91.0% (91/100) | random 9.0% (9/100)
    azorius | spellslinger                        heuristic 97.0% (97/100) | random 3.0% (3/100)
    azorius | tokens                              heuristic 93.0% (93/100) | random 7.0% (7/100)
    azorius | wiedzmin                            heuristic 95.0% (95/100) | random 5.0% (5/100)
    black | black                                 heuristic 98.0% (98/100) | random 2.0% (2/100)
    black | graveyard                             heuristic 99.0% (99/100) | random 1.0% (1/100)
    black | green                                 heuristic 99.0% (99/100) | random 1.0% (1/100)
    black | innistrad                             heuristic 99.0% (99/100) | random 1.0% (1/100)
    black | mechanicy                             heuristic 99.0% (99/100) | random 1.0% (1/100)
    black | ostrza                                heuristic 99.0% (99/100) | random 1.0% (1/100)
    black | red                                   heuristic 99.0% (99/100) | random 1.0% (1/100)
    black | sojusznicy                            heuristic 100.0% (100/100) | random 0.0% (0/100)
    black | spellslinger                          heuristic 100.0% (100/100) | random 0.0% (0/100)
    black | tokens                                heuristic 99.0% (99/100) | random 1.0% (1/100)
    black | wiedzmin                              heuristic 99.0% (99/100) | random 1.0% (1/100)
    graveyard | graveyard                         heuristic 99.0% (99/100) | random 1.0% (1/100)
    graveyard | green                             heuristic 98.0% (98/100) | random 2.0% (2/100)
    graveyard | innistrad                         heuristic 100.0% (100/100) | random 0.0% (0/100)
    graveyard | mechanicy                         heuristic 100.0% (100/100) | random 0.0% (0/100)
    graveyard | ostrza                            heuristic 99.0% (99/100) | random 1.0% (1/100)
    graveyard | red                               heuristic 100.0% (100/100) | random 0.0% (0/100)
    graveyard | sojusznicy                        heuristic 100.0% (100/100) | random 0.0% (0/100)
    graveyard | spellslinger                      heuristic 98.0% (98/100) | random 2.0% (2/100)
    graveyard | tokens                            heuristic 98.0% (98/100) | random 2.0% (2/100)
    graveyard | wiedzmin                          heuristic 100.0% (100/100) | random 0.0% (0/100)
    green | green                                 heuristic 99.0% (99/100) | random 1.0% (1/100)
    green | innistrad                             heuristic 100.0% (100/100) | random 0.0% (0/100)
    green | mechanicy                             heuristic 99.0% (99/100) | random 1.0% (1/100)
    green | ostrza                                heuristic 97.0% (97/100) | random 3.0% (3/100)
    green | red                                   heuristic 99.0% (99/100) | random 1.0% (1/100)
    green | sojusznicy                            heuristic 99.0% (99/100) | random 1.0% (1/100)
    green | spellslinger                          heuristic 99.0% (99/100) | random 1.0% (1/100)
    green | tokens                                heuristic 98.0% (98/100) | random 2.0% (2/100)
    green | wiedzmin                              heuristic 99.0% (99/100) | random 1.0% (1/100)
    innistrad | innistrad                         heuristic 96.0% (96/100) | random 4.0% (4/100)
    innistrad | mechanicy                         heuristic 97.0% (97/100) | random 3.0% (3/100)
    innistrad | ostrza                            heuristic 94.0% (94/100) | random 6.0% (6/100)
    innistrad | red                               heuristic 97.0% (97/100) | random 3.0% (3/100)
    innistrad | sojusznicy                        heuristic 91.0% (91/100) | random 9.0% (9/100)
    innistrad | spellslinger                      heuristic 99.0% (99/100) | random 1.0% (1/100)
    innistrad | tokens                            heuristic 91.0% (91/100) | random 9.0% (9/100)
    innistrad | wiedzmin                          heuristic 94.0% (94/100) | random 6.0% (6/100)
    mechanicy | mechanicy                         heuristic 98.0% (98/100) | random 2.0% (2/100)
    mechanicy | ostrza                            heuristic 91.0% (91/100) | random 9.0% (9/100)
    mechanicy | red                               heuristic 97.0% (97/100) | random 3.0% (3/100)
    mechanicy | sojusznicy                        heuristic 69.0% (69/100) | random 31.0% (31/100)
    mechanicy | spellslinger                      heuristic 93.0% (93/100) | random 7.0% (7/100)
    mechanicy | tokens                            heuristic 88.0% (88/100) | random 12.0% (12/100)
    mechanicy | wiedzmin                          heuristic 85.0% (85/100) | random 15.0% (15/100)
    ostrza | ostrza                               heuristic 99.0% (99/100) | random 1.0% (1/100)
    ostrza | red                                  heuristic 99.0% (99/100) | random 1.0% (1/100)
    ostrza | sojusznicy                           heuristic 98.0% (98/100) | random 2.0% (2/100)
    ostrza | spellslinger                         heuristic 100.0% (100/100) | random 0.0% (0/100)
    ostrza | tokens                               heuristic 100.0% (100/100) | random 0.0% (0/100)
    ostrza | wiedzmin                             heuristic 99.0% (99/100) | random 1.0% (1/100)
    red | red                                     heuristic 95.0% (95/100) | random 5.0% (5/100)
    red | sojusznicy                              heuristic 86.0% (86/100) | random 14.0% (14/100)
    red | spellslinger                            heuristic 97.0% (97/100) | random 3.0% (3/100)
    red | tokens                                  heuristic 89.0% (89/100) | random 11.0% (11/100)
    red | wiedzmin                                heuristic 94.0% (94/100) | random 6.0% (6/100)
    sojusznicy | sojusznicy                       heuristic 99.0% (99/100) | random 1.0% (1/100)
    sojusznicy | spellslinger                     heuristic 99.0% (99/100) | random 1.0% (1/100)
    sojusznicy | tokens                           heuristic 94.0% (94/100) | random 6.0% (6/100)
    sojusznicy | wiedzmin                         heuristic 98.0% (98/100) | random 2.0% (2/100)
    spellslinger | spellslinger                   heuristic 96.0% (96/100) | random 4.0% (4/100)
    spellslinger | tokens                         heuristic 78.0% (78/100) | random 22.0% (22/100)
    spellslinger | wiedzmin                       heuristic 92.0% (92/100) | random 8.0% (8/100)
    tokens | tokens                               heuristic 99.0% (99/100) | random 1.0% (1/100)
    tokens | wiedzmin                             heuristic 99.0% (99/100) | random 1.0% (1/100)
    wiedzmin | wiedzmin                           heuristic 100.0% (100/100) | random 0.0% (0/100)

Macierz win-rate (wiersz wygrywa z kolumną):
                aggro heuristic    random
  aggro             —     33.5%     93.0%
  heuristic     66.5%         —     96.1%
  random         7.0%      3.9%         —

Razem (wszystkie pary):
  aggro     63.2% zwycięstw (9865/15600)
  heuristic 81.3% zwycięstw (12682/15600)
  random    5.5% zwycięstw (853/15600)

Rozegrano 23400 meczów w 2331.4 s (~99.6 ms/mecz).
Zapisano wynik JSON: /home/user/mtg/tools/b0-full-2026-08-15.json
